MHz	dB
5000.0 	-13.89
5010.0 	-15.12
5020.0 	-16.93
5030.0 	-19.78
5040.0 	-24.84
5050.0 	-36.33
5060.0 	-28.15
5070.0 	-21.33
5080.0 	-17.81
5090.0 	-15.49
5100.0 	-13.86
5110.0 	-12.69
5120.0 	-11.82
5130.0 	-11.18
5140.0 	-10.85
5150.0 	-10.71
5160.0 	-10.68
5170.0 	-10.81
5180.0 	-11.18
5190.0 	-11.73
5200.0 	-12.40
5210.0 	-13.19
5220.0 	-13.98
5230.0 	-14.69
5240.0 	-15.27
5250.0 	-15.46
5260.0 	-15.14
5270.0 	-14.59
5280.0 	-13.88
5290.0 	-13.15
5300.0 	-12.48
5310.0 	-11.89
5320.0 	-11.53
5330.0 	-11.27
5340.0 	-11.03
5350.0 	-10.97
5360.0 	-11.07
5370.0 	-11.36
5380.0 	-11.79
5390.0 	-12.41
5400.0 	-13.29
5410.0 	-14.54
5420.0 	-16.13
5430.0 	-18.22
5440.0 	-21.48
5450.0 	-26.66
5460.0 	-36.01
5470.0 	-27.99
5480.0 	-22.54
5490.0 	-19.33
5500.0 	-17.33
5510.0 	-16.02
5520.0 	-15.16
5530.0 	-14.71
5540.0 	-14.59
5550.0 	-14.80
5560.0 	-15.40
5570.0 	-16.26
5580.0 	-17.26
5590.0 	-18.11
5600.0 	-18.35
5610.0 	-17.60
5620.0 	-16.22
5630.0 	-14.62
5640.0 	-13.07
5650.0 	-11.75
5660.0 	-10.77
5670.0 	-10.03
5680.0 	-9.48
5690.0 	-9.05
5700.0 	-8.71
5710.0 	-8.54
5720.0 	-8.51
5730.0 	-8.58
5740.0 	-8.80
5750.0 	-9.17
5760.0 	-9.72
5770.0 	-10.51
5780.0 	-11.47
5790.0 	-12.58
5800.0 	-13.95
5810.0 	-15.58
5820.0 	-17.43
5830.0 	-18.99
5840.0 	-19.70
5850.0 	-19.04
5860.0 	-17.62
5870.0 	-16.28
5880.0 	-15.34
5890.0 	-14.83
5900.0 	-14.63
5910.0 	-14.79
5920.0 	-15.34
5930.0 	-16.37
5940.0 	-17.91
5950.0 	-19.62
5960.0 	-22.05
5970.0 	-25.99
5980.0 	-30.65
5990.0 	-26.42
6000.0 	-21.52
